recipient_name,Major_Inclusion_Employment,Major_Inclusion_Not employment,Major_Not inclusion_Employment,Major_Not inclusion_Not employment,Minor_Inclusion_Employment,Minor_Inclusion_Not employment,Minor_Not inclusion_Employment,Minor_Not inclusion_Not employment,None_Not inclusion_Not employment
Tokelau,0,0,0,0.00203635,0,0,0,0.6161976,88.5282366257
Tonga,0,0.06250101,0,0.507852389,0,2.1663078,0.0127826,8.56478114,460.97560861151
Tunisia,0,1.2827658,1.21656257,3.046135776,0.00171627,0.0649428,0,1.09366223,6401.70851508831
Turkey,0,0.73272,0,2.12647967,0,2.67057567,0,6.4386555,23242.6026660626
Turkmenistan,0.1822162,0.04254979,0,0.13163713,0.09552182,0.09948515,0,0,169.93270102852
Tuvalu,0,0.0806695,0,0,0,0.18087577,0,1.9290503,181.22063211181
Uganda,0.4161306,2.90847057,0.6261301,6.144550998,0.38975,5.248569661,2.62641199,84.2369601393,10377.765872366
Ukraine,0.000184699,1.78786476,0.11162709,2.531213892,5.8393029,0.29439657,0,12.62623786,6940.75079067654
Uruguay,0,0,0,0.29815398,0,0.19308825,0.0022859,0.12073743,276.271234029248
Uzbekistan,0,2.40579744,0.1066944,1.02638782,0.41131329,0,0.15995,0.47838949,2648.05916599756
Vanuatu,0,0.6096809,0,0.41738195,0,1.0364205,0,6.7221226,726.11628861683
Venezuela,0,0.002000248,0,0.15954986,0,0.000145605,0.2117754,0.164848344,301.945797769979
Viet Nam,4.264544,10.782533442,1.177315683,27.72225386,0.002172164,8.976219201,15.82737202,47.687515903,23970.287182629
Wallis and Futuna,0,0,0,0,0,0,0.00142583,3.72984182836,573.598591208057
West Bank and Gaza Strip,5.41184492,17.709815705,1.61316228,27.123760125,0.8409406,14.208688797,7.069739611,29.1182778833,12827.7478324945
"West Indies, regional",0,0,0,0.032224712,0,0.05421618,0.0770022,1.45725345,1131.85116006317
Yemen,0,0.8000812,0,1.80066379,0,0.21014071,0.5855643,2.45638476,10716.0431538665
Zambia,0.29139042,2.010583489,0,7.966442029,0.13253381,4.042196206,2.635988628,115.922663007,5933.71466681304
Zimbabwe,0,0.723624577,0.0365384,2.6836961,0,1.21888523,0.83108811,39.4637441544,4658.33613562647
